rrp,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
1.71,240,0.01,202,38,84.17,15.83
1.72,33,0.0,32,1,96.97,3.03
1.74,44,0.0,39,5,88.64,11.36
1.75,594,0.02,378,216,63.64,36.36
1.76,47,0.0,38,9,80.85,19.15
1.77,23,0.0,20,3,86.96,13.04
1.79,283,0.01,213,70,75.27,24.73
1.8,21,0.0,15,6,71.43,28.57
1.81,294,0.01,174,120,59.18,40.82
1.86,702,0.03,524,178,74.64,25.36
1.87,303,0.01,240,63,79.21,20.79
1.88,13,0.0,13,0,100.0,0.0
1.89,54,0.0,36,18,66.67,33.33
1.91,43,0.0,38,5,88.37,11.63
1.93,301,0.01,192,109,63.79,36.21
1.94,683,0.02,551,132,80.67,19.33
1.96,1110,0.04,785,325,70.72,29.28
1.97,550,0.02,350,200,63.64,36.36
1.98,1075,0.04,715,360,66.51,33.49
2.0,50,0.0,33,17,66.0,34.0
2.02,446,0.02,348,98,78.03,21.97
2.04,1339,0.05,778,561,58.1,41.9
2.05,668,0.02,552,116,82.63,17.37
2.06,5,0.0,4,1,80.0,20.0
2.07,57,0.0,32,25,56.14,43.86
2.08,425,0.02,314,111,73.88,26.12
2.09,171,0.01,108,63,63.16,36.84
2.11,911,0.03,621,290,68.17,31.83
2.12,8,0.0,6,2,75.0,25.0
2.13,4052,0.15,2297,1755,56.69,43.31
2.15,1261,0.05,909,352,72.09,27.91
2.16,1183,0.04,1023,160,86.48,13.52
2.18,2061,0.07,1399,662,67.88,32.12
2.19,2004,0.07,1447,557,72.21,27.79
2.2,2101,0.08,1601,500,76.2,23.8
2.22,210,0.01,141,69,67.14,32.86
2.23,1600,0.06,799,801,49.94,50.06
2.25,296,0.01,220,76,74.32,25.68
2.28,272,0.01,175,97,64.34,35.66
2.3,214,0.01,173,41,80.84,19.16
2.32,47,0.0,37,10,78.72,21.28
2.33,245,0.01,161,84,65.71,34.29
2.35,10,0.0,8,2,80.0,20.0
2.37,531,0.02,384,147,72.32,27.68
2.38,7,0.0,6,1,85.71,14.29
2.39,60,0.0,38,22,63.33,36.67
2.4,8272,0.3,3724,4548,45.02,54.98
2.41,149,0.01,120,29,80.54,19.46
2.42,1045,0.04,847,198,81.05,18.95
2.43,38,0.0,32,6,84.21,15.79
2.45,248,0.01,188,60,75.81,24.19
2.46,82,0.0,61,21,74.39,25.61
2.48,302,0.01,229,73,75.83,24.17
2.49,295,0.01,152,143,51.53,48.47
2.5,19,0.0,16,3,84.21,15.79
2.51,104,0.0,99,5,95.19,4.81
2.52,950,0.03,668,282,70.32,29.68
2.53,316,0.01,215,101,68.04,31.96
2.54,283,0.01,189,94,66.78,33.22
2.55,810,0.03,674,136,83.21,16.79
2.56,17,0.0,15,2,88.24,11.76
2.59,185,0.01,121,64,65.41,34.59
2.6,4298,0.16,2353,1945,54.75,45.25
2.61,45,0.0,31,14,68.89,31.11
2.62,6072,0.22,2302,3770,37.91,62.09
2.63,800,0.03,645,155,80.62,19.38
2.64,11220,0.41,5805,5415,51.74,48.26
2.66,866,0.03,683,183,78.87,21.13
2.67,65,0.0,55,10,84.62,15.38
2.68,1285,0.05,931,354,72.45,27.55
2.7,437,0.02,309,128,70.71,29.29
2.71,346,0.01,303,43,87.57,12.43
2.72,45,0.0,35,10,77.78,22.22
2.73,202,0.01,157,45,77.72,22.28
2.74,1788,0.06,1122,666,62.75,37.25
2.75,4681,0.17,2850,1831,60.88,39.12
2.76,350,0.01,315,35,90.0,10.0
2.78,297,0.01,257,40,86.53,13.47
2.81,226,0.01,175,51,77.43,22.57
2.82,370,0.01,254,116,68.65,31.35
2.83,61,0.0,52,9,85.25,14.75
2.84,1115,0.04,1048,67,93.99,6.01
2.85,446,0.02,329,117,73.77,26.23
2.86,266,0.01,192,74,72.18,27.82
2.88,471,0.02,355,116,75.37,24.63
2.89,31,0.0,24,7,77.42,22.58
2.9,111,0.0,90,21,81.08,18.92
2.92,229,0.01,153,76,66.81,33.19
2.94,467,0.02,426,41,91.22,8.78
2.95,453,0.02,346,107,76.38,23.62
2.96,292,0.01,198,94,67.81,32.19
2.97,569,0.02,419,150,73.64,26.36
2.98,91,0.0,75,16,82.42,17.58
3.0,44,0.0,34,10,77.27,22.73
3.01,506,0.02,405,101,80.04,19.96
3.03,865,0.03,646,219,74.68,25.32
3.04,98,0.0,85,13,86.73,13.27
3.05,841,0.03,768,73,91.32,8.68
3.06,353,0.01,286,67,81.02,18.98
3.07,194,0.01,164,30,84.54,15.46
3.08,704,0.03,579,125,82.24,17.76
3.09,34,0.0,32,2,94.12,5.88
3.1,177,0.01,125,52,70.62,29.38
3.11,207,0.01,194,13,93.72,6.28
3.12,696,0.03,510,186,73.28,26.72
3.14,458,0.02,399,59,87.12,12.88
3.15,342,0.01,244,98,71.35,28.65
3.16,1178,0.04,685,493,58.15,41.85
3.17,38,0.0,27,11,71.05,28.95
3.18,137,0.0,122,15,89.05,10.95
3.19,447,0.02,311,136,69.57,30.43
3.2,10,0.0,9,1,90.0,10.0
3.21,72,0.0,67,5,93.06,6.94
3.22,638,0.02,500,138,78.37,21.63
3.23,1,0.0,1,0,100.0,0.0
3.25,3296,0.12,2389,907,72.48,27.52
3.26,1036,0.04,829,207,80.02,19.98
3.27,118,0.0,84,34,71.19,28.81
3.28,27,0.0,27,0,100.0,0.0
3.29,7396,0.27,5254,2142,71.04,28.96
3.3,719,0.03,658,61,91.52,8.48
3.31,465,0.02,357,108,76.77,23.23
3.32,141,0.01,129,12,91.49,8.51
3.33,731,0.03,457,274,62.52,37.48
3.35,1118,0.04,560,558,50.09,49.91
3.37,382,0.01,283,99,74.08,25.92
3.38,357,0.01,343,14,96.08,3.92
3.39,179,0.01,138,41,77.09,22.91
3.4,69,0.0,66,3,95.65,4.35
3.41,1312,0.05,775,537,59.07,40.93
3.42,22,0.0,12,10,54.55,45.45
3.43,366,0.01,293,73,80.05,19.95
3.44,14,0.0,13,1,92.86,7.14
3.45,440,0.02,371,69,84.32,15.68
3.47,65,0.0,49,16,75.38,24.62
3.48,23,0.0,18,5,78.26,21.74
3.49,652,0.02,549,103,84.2,15.8
3.5,42,0.0,35,7,83.33,16.67
3.51,627,0.02,495,132,78.95,21.05
3.52,6530,0.24,4805,1725,73.58,26.42
3.53,112,0.0,65,47,58.04,41.96
3.54,290,0.01,197,93,67.93,32.07
3.56,1482,0.05,1034,448,69.77,30.23
3.58,423,0.02,303,120,71.63,28.37
3.59,869,0.03,621,248,71.46,28.54
3.6,158,0.01,105,53,66.46,33.54
3.61,355,0.01,275,80,77.46,22.54
3.62,449,0.02,301,148,67.04,32.96
3.63,1080,0.04,680,400,62.96,37.04
3.64,77,0.0,48,29,62.34,37.66
3.65,521,0.02,349,172,66.99,33.01
3.66,278,0.01,256,22,92.09,7.91
3.67,240,0.01,133,107,55.42,44.58
3.69,346,0.01,256,90,73.99,26.01
3.7,815,0.03,474,341,58.16,41.84
3.71,24,0.0,20,4,83.33,16.67
3.72,63,0.0,54,9,85.71,14.29
3.73,911,0.03,694,217,76.18,23.82
3.74,293,0.01,214,79,73.04,26.96
3.75,53,0.0,32,21,60.38,39.62
3.76,116,0.0,93,23,80.17,19.83
3.77,1464,0.05,1233,231,84.22,15.78
3.8,4116,0.15,2730,1386,66.33,33.67
3.82,458,0.02,381,77,83.19,16.81
3.84,3175,0.12,2388,787,75.21,24.79
3.85,3664,0.13,2630,1034,71.78,28.22
3.86,168,0.01,159,9,94.64,5.36
3.87,84,0.0,72,12,85.71,14.29
3.89,43,0.0,42,1,97.67,2.33
3.91,1747,0.06,1416,331,81.05,18.95
3.92,65,0.0,43,22,66.15,33.85
3.93,39,0.0,28,11,71.79,28.21
3.94,902,0.03,666,236,73.84,26.16
3.95,839,0.03,577,262,68.77,31.23
3.96,535,0.02,405,130,75.7,24.3
3.97,226,0.01,128,98,56.64,43.36
3.98,456,0.02,353,103,77.41,22.59
3.99,48,0.0,40,8,83.33,16.67
4.0,24,0.0,20,4,83.33,16.67
4.02,1226,0.04,792,434,64.6,35.4
4.04,1230,0.04,1061,169,86.26,13.74
4.05,301,0.01,233,68,77.41,22.59
4.06,1117,0.04,838,279,75.02,24.98
4.07,1581,0.06,1287,294,81.4,18.6
4.08,59,0.0,55,4,93.22,6.78
4.09,169,0.01,135,34,79.88,20.12
4.11,120,0.0,99,21,82.5,17.5
4.12,2438,0.09,1621,817,66.49,33.51
4.14,449,0.02,349,100,77.73,22.27
4.15,440,0.02,349,91,79.32,20.68
4.16,412,0.01,268,144,65.05,34.95
4.17,574,0.02,378,196,65.85,34.15
4.18,9654,0.35,7089,2565,73.43,26.57
4.19,1555,0.06,903,652,58.07,41.93
4.2,40,0.0,30,10,75.0,25.0
4.21,266,0.01,197,69,74.06,25.94
4.22,106,0.0,79,27,74.53,25.47
4.24,1999,0.07,1453,546,72.69,27.31
4.25,6339,0.23,4071,2268,64.22,35.78
4.26,315,0.01,241,74,76.51,23.49
4.27,682,0.02,638,44,93.55,6.45
4.28,6584,0.24,3995,2589,60.68,39.32
4.29,764,0.03,613,151,80.24,19.76
4.3,57,0.0,38,19,66.67,33.33
4.31,942,0.03,545,397,57.86,42.14
4.32,413,0.01,351,62,84.99,15.01
4.35,13786,0.5,9765,4021,70.83,29.17
4.36,21,0.0,20,1,95.24,4.76
4.37,232,0.01,164,68,70.69,29.31
4.38,210,0.01,170,40,80.95,19.05
4.39,11574,0.42,8735,2839,75.47,24.53
4.4,373,0.01,311,62,83.38,16.62
4.42,238,0.01,207,31,86.97,13.03
4.43,323,0.01,310,13,95.98,4.02
4.44,8,0.0,8,0,100.0,0.0
4.46,7574,0.27,4028,3546,53.18,46.82
4.47,209,0.01,171,38,81.82,18.18
4.48,164,0.01,139,25,84.76,15.24
4.49,2170,0.08,1769,401,81.52,18.48
4.5,1835,0.07,1239,596,67.52,32.48
4.51,281,0.01,211,70,75.09,24.91
4.52,912,0.03,730,182,80.04,19.96
4.53,536,0.02,352,184,65.67,34.33
4.54,1143,0.04,594,549,51.97,48.03
4.55,2056,0.07,1423,633,69.21,30.79
4.57,308,0.01,254,54,82.47,17.53
4.58,26,0.0,22,4,84.62,15.38
4.59,960,0.03,913,47,95.1,4.9
4.6,8,0.0,6,2,75.0,25.0
4.61,2891,0.1,1845,1046,63.82,36.18
4.62,271,0.01,189,82,69.74,30.26
4.63,18,0.0,11,7,61.11,38.89
4.64,72,0.0,55,17,76.39,23.61
4.66,672,0.02,452,220,67.26,32.74
4.68,2764,0.1,2193,571,79.34,20.66
4.69,128,0.0,76,52,59.38,40.62
4.7,1512,0.05,1366,146,90.34,9.66
4.71,1428,0.05,1050,378,73.53,26.47
4.72,1923,0.07,1391,532,72.33,27.67
4.73,3611,0.13,2390,1221,66.19,33.81
4.75,1006,0.04,648,358,64.41,35.59
4.76,200,0.01,164,36,82.0,18.0
4.77,1207,0.04,867,340,71.83,28.17
4.79,766,0.03,537,229,70.1,29.9
4.8,38,0.0,34,4,89.47,10.53
4.81,407,0.01,283,124,69.53,30.47
4.82,525,0.02,443,82,84.38,15.62
4.83,1452,0.05,1120,332,77.13,22.87
4.84,225,0.01,170,55,75.56,24.44
4.85,2810,0.1,2129,681,75.77,24.23
4.86,29,0.0,19,10,65.52,34.48
4.87,104,0.0,80,24,76.92,23.08
4.88,381,0.01,214,167,56.17,43.83
4.9,6249,0.23,4720,1529,75.53,24.47
4.91,111,0.0,83,28,74.77,25.23
4.92,36,0.0,30,6,83.33,16.67
4.93,13,0.0,11,2,84.62,15.38
4.94,8900,0.32,6679,2221,75.04,24.96
4.95,1369,0.05,1108,261,80.93,19.07
4.96,6,0.0,4,2,66.67,33.33
4.97,14,0.0,13,1,92.86,7.14
4.98,8364,0.3,5130,3234,61.33,38.67
4.99,16,0.0,14,2,87.5,12.5
5.0,784,0.03,518,266,66.07,33.93
5.03,3453,0.13,1892,1561,54.79,45.21
5.04,207,0.01,196,11,94.69,5.31
5.05,1141,0.04,1004,137,87.99,12.01
5.06,166,0.01,132,34,79.52,20.48
5.07,2884,0.1,1909,975,66.19,33.81
5.08,1168,0.04,659,509,56.42,43.58
5.09,673,0.02,523,150,77.71,22.29
5.1,1910,0.07,980,930,51.31,48.69
5.12,378,0.01,307,71,81.22,18.78
5.15,979,0.04,728,251,74.36,25.64
5.16,2690,0.1,2330,360,86.62,13.38
5.17,3660,0.13,2564,1096,70.05,29.95
5.18,4,0.0,3,1,75.0,25.0
5.19,283,0.01,224,59,79.15,20.85
5.2,266,0.01,201,65,75.56,24.44
5.21,92,0.0,76,16,82.61,17.39
5.23,2716,0.1,1965,751,72.35,27.65
5.24,310,0.01,258,52,83.23,16.77
5.25,75,0.0,73,2,97.33,2.67
5.26,527,0.02,398,129,75.52,24.48
5.27,1318,0.05,990,328,75.11,24.89
5.28,1876,0.07,1535,341,81.82,18.18
5.29,25,0.0,18,7,72.0,28.0
5.3,1389,0.05,948,441,68.25,31.75
5.31,2,0.0,2,0,100.0,0.0
5.32,146,0.01,103,43,70.55,29.45
5.33,90,0.0,84,6,93.33,6.67
5.35,48,0.0,42,6,87.5,12.5
5.37,2509,0.09,2204,305,87.84,12.16
5.38,1146,0.04,630,516,54.97,45.03
5.39,1418,0.05,982,436,69.25,30.75
5.4,170,0.01,136,34,80.0,20.0
5.43,864,0.03,561,303,64.93,35.07
5.45,19403,0.7,15452,3951,79.64,20.36
5.46,33,0.0,32,1,96.97,3.03
5.47,17354,0.63,7884,9470,45.43,54.57
5.48,613,0.02,520,93,84.83,15.17
5.49,7877,0.29,5554,2323,70.51,29.49
5.5,2337,0.08,1925,412,82.37,17.63
5.51,678,0.02,431,247,63.57,36.43
5.53,324,0.01,259,65,79.94,20.06
5.54,6,0.0,5,1,83.33,16.67
5.56,771,0.03,673,98,87.29,12.71
5.57,314,0.01,257,57,81.85,18.15
5.58,1993,0.07,1564,429,78.47,21.53
5.59,31,0.0,27,4,87.1,12.9
5.6,4531,0.16,3270,1261,72.17,27.83
5.61,712,0.03,623,89,87.5,12.5
5.62,4410,0.16,2099,2311,47.6,52.4
5.63,673,0.02,418,255,62.11,37.89
5.64,44,0.0,33,11,75.0,25.0
5.65,742,0.03,656,86,88.41,11.59
5.67,717,0.03,411,306,57.32,42.68
5.68,136,0.0,101,35,74.26,25.74
5.71,1593,0.06,1145,448,71.88,28.12
5.72,1738,0.06,1283,455,73.82,26.18
5.74,186,0.01,121,65,65.05,34.95
5.76,15,0.0,14,1,93.33,6.67
5.78,6209,0.23,4090,2119,65.87,34.13
5.79,169,0.01,123,46,72.78,27.22
5.8,35,0.0,29,6,82.86,17.14
5.81,2863,0.1,2137,726,74.64,25.36
5.82,2169,0.08,1626,543,74.97,25.03
5.83,395,0.01,327,68,82.78,17.22
5.84,847,0.03,662,185,78.16,21.84
5.85,1830,0.07,1765,65,96.45,3.55
5.86,19,0.0,16,3,84.21,15.79
5.87,1424,0.05,1228,196,86.24,13.76
5.88,192,0.01,156,36,81.25,18.75
5.9,67,0.0,49,18,73.13,26.87
5.92,867,0.03,425,442,49.02,50.98
5.93,871,0.03,562,309,64.52,35.48
5.94,3019,0.11,2106,913,69.76,30.24
5.95,454,0.02,376,78,82.82,17.18
5.97,153,0.01,99,54,64.71,35.29
5.98,203,0.01,151,52,74.38,25.62
6.0,6788,0.25,5183,1605,76.36,23.64
6.02,2226,0.08,1204,1022,54.09,45.91
6.03,40,0.0,33,7,82.5,17.5
6.04,2047,0.07,1468,579,71.71,28.29
6.05,2188,0.08,1730,458,79.07,20.93
6.06,75,0.0,62,13,82.67,17.33
6.07,510,0.02,372,138,72.94,27.06
6.08,184,0.01,158,26,85.87,14.13
6.09,106,0.0,92,14,86.79,13.21
6.11,1010,0.04,734,276,72.67,27.33
6.12,113,0.0,93,20,82.3,17.7
6.13,1160,0.04,765,395,65.95,34.05
6.15,3355,0.12,2107,1248,62.8,37.2
6.16,522,0.02,400,122,76.63,23.37
6.18,73,0.0,69,4,94.52,5.48
6.19,682,0.02,573,109,84.02,15.98
6.22,3274,0.12,2333,941,71.26,28.74
6.23,484,0.02,450,34,92.98,7.02
6.26,3403,0.12,2999,404,88.13,11.87
6.27,375,0.01,322,53,85.87,14.13
6.28,378,0.01,337,41,89.15,10.85
6.29,213,0.01,178,35,83.57,16.43
6.33,9601,0.35,6959,2642,72.48,27.52
6.34,793,0.03,621,172,78.31,21.69
6.35,23,0.0,18,5,78.26,21.74
6.36,3266,0.12,1904,1362,58.3,41.7
6.37,269,0.01,206,63,76.58,23.42
6.38,1849,0.07,1631,218,88.21,11.79
6.39,811,0.03,471,340,58.08,41.92
6.4,757,0.03,545,212,71.99,28.01
6.41,116,0.0,99,17,85.34,14.66
6.42,35,0.0,19,16,54.29,45.71
6.44,3058,0.11,2300,758,75.21,24.79
6.46,55,0.0,44,11,80.0,20.0
6.47,199,0.01,163,36,81.91,18.09
6.48,904,0.03,826,78,91.37,8.63
6.49,4474,0.16,3137,1337,70.12,29.88
6.52,55,0.0,41,14,74.55,25.45
6.53,1441,0.05,1143,298,79.32,20.68
6.55,7473,0.27,5790,1683,77.48,22.52
6.56,5965,0.22,5114,851,85.73,14.27
6.57,13547,0.49,8130,5417,60.01,39.99
6.58,221,0.01,208,13,94.12,5.88
6.59,6347,0.23,4628,1719,72.92,27.08
6.6,828,0.03,641,187,77.42,22.58
6.61,117,0.0,98,19,83.76,16.24
6.62,81,0.0,66,15,81.48,18.52
6.63,3640,0.13,3017,623,82.88,17.12
6.66,880,0.03,706,174,80.23,19.77
6.67,309,0.01,252,57,81.55,18.45
6.68,3705,0.13,2522,1183,68.07,31.93
6.7,230,0.01,202,28,87.83,12.17
6.71,2165,0.08,1737,428,80.23,19.77
6.72,26,0.0,22,4,84.62,15.38
6.73,127,0.0,109,18,85.83,14.17
6.74,10,0.0,10,0,100.0,0.0
6.75,128,0.0,93,35,72.66,27.34
6.77,4037,0.15,3261,776,80.78,19.22
6.78,854,0.03,672,182,78.69,21.31
6.8,16,0.0,11,5,68.75,31.25
6.81,2748,0.1,1866,882,67.9,32.1
6.82,249,0.01,193,56,77.51,22.49
6.83,281,0.01,245,36,87.19,12.81
6.84,878,0.03,553,325,62.98,37.02
6.86,193,0.01,141,52,73.06,26.94
6.88,8295,0.3,5713,2582,68.87,31.13
6.9,604,0.02,494,110,81.79,18.21
6.91,1013,0.04,781,232,77.1,22.9
6.92,690,0.03,511,179,74.06,25.94
6.93,1740,0.06,1389,351,79.83,20.17
6.94,3760,0.14,3201,559,85.13,14.87
6.95,4766,0.17,4507,259,94.57,5.43
6.96,3,0.0,3,0,100.0,0.0
6.97,29,0.0,19,10,65.52,34.48
6.99,812,0.03,584,228,71.92,28.08
7.0,14,0.0,12,2,85.71,14.29
7.01,154,0.01,133,21,86.36,13.64
7.02,394,0.01,317,77,80.46,19.54
7.03,6660,0.24,4571,2089,68.63,31.37
7.04,2717,0.1,2032,685,74.79,25.21
7.05,697,0.03,643,54,92.25,7.75
7.06,40,0.0,38,2,95.0,5.0
7.07,154,0.01,137,17,88.96,11.04
7.08,4665,0.17,2308,2357,49.47,50.53
7.1,5609,0.2,5248,361,93.56,6.44
7.11,130,0.0,115,15,88.46,11.54
7.12,3624,0.13,2023,1601,55.82,44.18
7.13,480,0.02,369,111,76.88,23.12
7.14,872,0.03,739,133,84.75,15.25
7.15,6932,0.25,5389,1543,77.74,22.26
7.16,67,0.0,61,6,91.04,8.96
7.17,933,0.03,610,323,65.38,34.62
7.18,730,0.03,434,296,59.45,40.55
7.21,777,0.03,579,198,74.52,25.48
7.22,747,0.03,698,49,93.44,6.56
7.24,302,0.01,207,95,68.54,31.46
7.25,2647,0.1,2040,607,77.07,22.93
7.26,1538,0.06,1119,419,72.76,27.24
7.28,2852,0.1,2335,517,81.87,18.13
7.29,555,0.02,454,101,81.8,18.2
7.3,10,0.0,9,1,90.0,10.0
7.32,869,0.03,739,130,85.04,14.96
7.35,507,0.02,428,79,84.42,15.58
7.36,213,0.01,146,67,68.54,31.46
7.37,302,0.01,264,38,87.42,12.58
7.39,1624,0.06,901,723,55.48,44.52
7.41,532,0.02,452,80,84.96,15.04
7.43,2791,0.1,2040,751,73.09,26.91
7.44,524,0.02,468,56,89.31,10.69
7.45,2367,0.09,1633,734,68.99,31.01
7.46,3329,0.12,2294,1035,68.91,31.09
7.47,1092,0.04,858,234,78.57,21.43
7.48,582,0.02,434,148,74.57,25.43
7.49,295,0.01,259,36,87.8,12.2
7.5,129,0.0,84,45,65.12,34.88
7.52,2031,0.07,1445,586,71.15,28.85
7.54,760,0.03,521,239,68.55,31.45
7.55,40,0.0,33,7,82.5,17.5
7.56,1234,0.04,934,300,75.69,24.31
7.57,2717,0.1,1618,1099,59.55,40.45
7.58,371,0.01,319,52,85.98,14.02
7.59,5367,0.19,4233,1134,78.87,21.13
7.6,98,0.0,55,43,56.12,43.88
7.62,507,0.02,405,102,79.88,20.12
7.63,264,0.01,204,60,77.27,22.73
7.65,13125,0.48,9620,3505,73.3,26.7
7.66,4275,0.16,2960,1315,69.24,30.76
7.67,16811,0.61,11254,5557,66.94,33.06
7.68,1456,0.05,1269,187,87.16,12.84
7.69,5878,0.21,4568,1310,77.71,22.29
7.7,1021,0.04,890,131,87.17,12.83
7.72,531,0.02,430,101,80.98,19.02
7.73,176,0.01,124,52,70.45,29.55
7.74,104,0.0,92,12,88.46,11.54
7.76,925,0.03,671,254,72.54,27.46
7.77,202,0.01,147,55,72.77,27.23
7.78,35,0.0,28,7,80.0,20.0
7.79,2293,0.08,2059,234,89.8,10.2
7.8,430,0.02,290,140,67.44,32.56
7.81,704,0.03,639,65,90.77,9.23
7.82,38,0.0,35,3,92.11,7.89
7.83,1137,0.04,959,178,84.34,15.66
7.84,337,0.01,235,102,69.73,30.27
7.85,6,0.0,3,3,50.0,50.0
7.87,3732,0.14,2283,1449,61.17,38.83
7.88,7,0.0,6,1,85.71,14.29
7.89,19,0.0,18,1,94.74,5.26
7.9,535,0.02,355,180,66.36,33.64
7.91,399,0.01,288,111,72.18,27.82
7.92,686,0.02,600,86,87.46,12.54
7.93,2387,0.09,2012,375,84.29,15.71
7.94,89,0.0,80,9,89.89,10.11
7.96,671,0.02,547,124,81.52,18.48
7.98,3649,0.13,2406,1243,65.94,34.06
7.99,446,0.02,388,58,87.0,13.0
8.0,601,0.02,512,89,85.19,14.81
8.01,463,0.02,345,118,74.51,25.49
8.02,800,0.03,657,143,82.12,17.88
8.03,92,0.0,79,13,85.87,14.13
8.04,224,0.01,156,68,69.64,30.36
8.06,233,0.01,182,51,78.11,21.89
8.07,393,0.01,346,47,88.04,11.96
8.09,424,0.02,202,222,47.64,52.36
8.11,653,0.02,540,113,82.7,17.3
8.12,5186,0.19,4361,825,84.09,15.91
8.13,1700,0.06,1205,495,70.88,29.12
8.14,1255,0.05,981,274,78.17,21.83
8.15,32,0.0,28,4,87.5,12.5
8.18,737,0.03,558,179,75.71,24.29
8.2,4328,0.16,3103,1225,71.7,28.3
8.21,96,0.0,70,26,72.92,27.08
8.22,235,0.01,186,49,79.15,20.85
8.23,247,0.01,203,44,82.19,17.81
8.24,10159,0.37,7756,2403,76.35,23.65
