price,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
0.78,104,0.0,66,38,63.46,36.54
0.79,11,0.0,8,3,72.73,27.27
0.8,79,0.0,49,30,62.03,37.97
0.81,100,0.0,81,19,81.0,19.0
0.83,1735,0.06,1060,675,61.1,38.9
0.84,37,0.0,29,8,78.38,21.62
0.85,17,0.0,12,5,70.59,29.41
0.86,23,0.0,18,5,78.26,21.74
0.87,43,0.0,28,15,65.12,34.88
0.88,381,0.01,297,84,77.95,22.05
0.89,153,0.01,83,70,54.25,45.75
0.9,39,0.0,26,13,66.67,33.33
0.91,16,0.0,11,5,68.75,31.25
0.92,60,0.0,45,15,75.0,25.0
0.94,464,0.02,331,133,71.34,28.66
0.95,234,0.01,180,54,76.92,23.08
0.96,224,0.01,121,103,54.02,45.98
0.97,174,0.01,128,46,73.56,26.44
0.98,213,0.01,144,69,67.61,32.39
0.99,85,0.0,58,27,68.24,31.76
1.0,2,0.0,1,1,50.0,50.0
1.01,676,0.02,420,256,62.13,37.87
1.02,31,0.0,19,12,61.29,38.71
1.03,292,0.01,189,103,64.73,35.27
1.04,11312,0.41,5426,5886,47.97,52.03
1.06,219,0.01,107,112,48.86,51.14
1.07,24,0.0,13,11,54.17,45.83
1.08,59,0.0,28,31,47.46,52.54
1.09,379,0.01,223,156,58.84,41.16
1.1,529,0.02,474,55,89.6,10.4
1.11,13,0.0,9,4,69.23,30.77
1.12,63,0.0,57,6,90.48,9.52
1.13,33,0.0,20,13,60.61,39.39
1.14,97,0.0,71,26,73.2,26.8
1.16,405,0.01,285,120,70.37,29.63
1.17,203,0.01,139,64,68.47,31.53
1.18,191,0.01,128,63,67.02,32.98
1.19,79,0.0,61,18,77.22,22.78
1.2,213,0.01,155,58,72.77,27.23
1.21,908,0.03,544,364,59.91,40.09
1.22,56,0.0,42,14,75.0,25.0
1.23,223,0.01,172,51,77.13,22.87
1.24,313,0.01,216,97,69.01,30.99
1.25,31,0.0,25,6,80.65,19.35
1.26,606,0.02,444,162,73.27,26.73
1.28,378,0.01,284,94,75.13,24.87
1.29,180,0.01,117,63,65.0,35.0
1.3,2975,0.11,1477,1498,49.65,50.35
1.31,572,0.02,477,95,83.39,16.61
1.32,9837,0.36,4701,5136,47.79,52.21
1.33,148,0.01,115,33,77.7,22.3
1.34,119,0.0,84,35,70.59,29.41
1.35,179,0.01,134,45,74.86,25.14
1.36,353,0.01,253,100,71.67,28.33
1.38,7753,0.28,4875,2878,62.88,37.12
1.39,21,0.0,18,3,85.71,14.29
1.4,234,0.01,177,57,75.64,24.36
1.41,425,0.02,305,120,71.76,28.24
1.42,180,0.01,136,44,75.56,24.44
1.43,18,0.0,15,3,83.33,16.67
1.44,645,0.02,476,169,73.8,26.2
1.45,794,0.03,627,167,78.97,21.03
1.46,52,0.0,43,9,82.69,17.31
1.47,357,0.01,250,107,70.03,29.97
1.49,1278,0.05,888,390,69.48,30.52
1.5,234,0.01,219,15,93.59,6.41
1.51,28,0.0,15,13,53.57,46.43
1.52,658,0.02,465,193,70.67,29.33
1.53,379,0.01,279,100,73.61,26.39
1.54,239,0.01,190,49,79.5,20.5
1.55,40,0.0,33,7,82.5,17.5
1.56,433,0.02,321,112,74.13,25.87
1.57,127,0.0,95,32,74.8,25.2
1.58,45,0.0,40,5,88.89,11.11
1.59,10649,0.39,5276,5373,49.54,50.46
1.61,46,0.0,34,12,73.91,26.09
1.62,139,0.01,84,55,60.43,39.57
1.63,68,0.0,52,16,76.47,23.53
1.64,83,0.0,56,27,67.47,32.53
1.65,1750,0.06,912,838,52.11,47.89
1.66,145,0.01,112,33,77.24,22.76
1.67,148,0.01,105,43,70.95,29.05
1.68,125,0.0,90,35,72.0,28.0
1.69,156,0.01,123,33,78.85,21.15
1.71,76,0.0,57,19,75.0,25.0
1.72,218,0.01,165,53,75.69,24.31
1.73,149,0.01,90,59,60.4,39.6
1.74,198,0.01,135,63,68.18,31.82
1.75,133,0.0,105,28,78.95,21.05
1.76,3563,0.13,2521,1042,70.75,29.25
1.77,209,0.01,153,56,73.21,26.79
1.78,326,0.01,226,100,69.33,30.67
1.79,744,0.03,518,226,69.62,30.38
1.8,163,0.01,97,66,59.51,40.49
1.81,585,0.02,370,215,63.25,36.75
1.83,595,0.02,341,254,57.31,42.69
1.84,443,0.02,306,137,69.07,30.93
1.85,153,0.01,93,60,60.78,39.22
1.86,198,0.01,123,75,62.12,37.88
1.87,188,0.01,141,47,75.0,25.0
1.88,442,0.02,327,115,73.98,26.02
1.89,72,0.0,53,19,73.61,26.39
1.9,54,0.0,36,18,66.67,33.33
1.91,162,0.01,99,63,61.11,38.89
1.93,3806,0.14,2757,1049,72.44,27.56
1.94,476,0.02,336,140,70.59,29.41
1.95,232,0.01,187,45,80.6,19.4
1.96,401,0.01,282,119,70.32,29.68
1.97,3904,0.14,2888,1016,73.98,26.02
1.98,1156,0.04,835,321,72.23,27.77
1.99,106,0.0,77,29,72.64,27.36
2.0,201,0.01,125,76,62.19,37.81
2.01,561,0.02,395,166,70.41,29.59
2.02,1360,0.05,854,506,62.79,37.21
2.04,1544,0.06,1156,388,74.87,25.13
2.05,122,0.0,104,18,85.25,14.75
2.06,32,0.0,23,9,71.88,28.12
2.07,1164,0.04,889,275,76.37,23.63
2.08,922,0.03,710,212,77.01,22.99
2.09,5644,0.2,3609,2035,63.94,36.06
2.1,76,0.0,57,19,75.0,25.0
2.11,308,0.01,207,101,67.21,32.79
2.12,443,0.02,321,122,72.46,27.54
2.13,75,0.0,56,19,74.67,25.33
2.15,18006,0.65,11200,6806,62.2,37.8
2.16,186,0.01,122,64,65.59,34.41
2.17,15,0.0,12,3,80.0,20.0
2.18,220,0.01,166,54,75.45,24.55
2.19,998,0.04,789,209,79.06,20.94
2.2,287,0.01,200,87,69.69,30.31
2.21,75,0.0,54,21,72.0,28.0
2.22,98,0.0,83,15,84.69,15.31
2.23,366,0.01,296,70,80.87,19.13
2.24,236,0.01,167,69,70.76,29.24
2.25,314,0.01,224,90,71.34,28.66
2.27,328,0.01,260,68,79.27,20.73
2.28,227,0.01,165,62,72.69,27.31
2.29,165,0.01,124,41,75.15,24.85
2.3,259,0.01,221,38,85.33,14.67
2.31,174,0.01,118,56,67.82,32.18
2.32,79,0.0,59,20,74.68,25.32
2.33,520,0.02,385,135,74.04,25.96
2.34,176,0.01,121,55,68.75,31.25
2.35,446,0.02,313,133,70.18,29.82
2.37,2348,0.09,1391,957,59.24,40.76
2.38,168,0.01,112,56,66.67,33.33
2.39,136,0.0,106,30,77.94,22.06
2.4,704,0.03,504,200,71.59,28.41
2.41,124,0.0,84,40,67.74,32.26
2.42,1359,0.05,949,410,69.83,30.17
2.43,1068,0.04,764,304,71.54,28.46
2.44,284,0.01,230,54,80.99,19.01
2.45,117,0.0,72,45,61.54,38.46
2.46,510,0.02,399,111,78.24,21.76
2.48,6609,0.24,4481,2128,67.8,32.2
2.49,534,0.02,408,126,76.4,23.6
2.5,331,0.01,246,85,74.32,25.68
2.51,224,0.01,181,43,80.8,19.2
2.52,35,0.0,30,5,85.71,14.29
2.53,765,0.03,515,250,67.32,32.68
2.54,627,0.02,469,158,74.8,25.2
2.55,656,0.02,571,85,87.04,12.96
2.56,198,0.01,148,50,74.75,25.25
2.57,142,0.01,100,42,70.42,29.58
2.59,275,0.01,204,71,74.18,25.82
2.6,197,0.01,147,50,74.62,25.38
2.61,557,0.02,397,160,71.27,28.73
2.62,67,0.0,58,9,86.57,13.43
2.63,469,0.02,418,51,89.13,10.87
2.64,270,0.01,213,57,78.89,21.11
2.65,53,0.0,34,19,64.15,35.85
2.66,169,0.01,131,38,77.51,22.49
2.67,128,0.0,98,30,76.56,23.44
2.68,104,0.0,82,22,78.85,21.15
2.7,35256,1.28,18891,16365,53.58,46.42
2.71,72,0.0,55,17,76.39,23.61
2.72,342,0.01,301,41,88.01,11.99
2.73,305,0.01,232,73,76.07,23.93
2.74,343,0.01,276,67,80.47,19.53
2.75,626,0.02,464,162,74.12,25.88
2.76,133,0.0,106,27,79.7,20.3
2.77,203,0.01,157,46,77.34,22.66
2.78,422,0.02,327,95,77.49,22.51
2.79,594,0.02,458,136,77.1,22.9
2.81,141,0.01,101,40,71.63,28.37
2.82,283,0.01,220,63,77.74,22.26
2.83,788,0.03,705,83,89.47,10.53
2.84,252,0.01,198,54,78.57,21.43
2.85,573,0.02,435,138,75.92,24.08
2.86,194,0.01,164,30,84.54,15.46
2.87,274,0.01,194,80,70.8,29.2
2.88,158,0.01,120,38,75.95,24.05
2.89,183,0.01,165,18,90.16,9.84
2.9,295,0.01,262,33,88.81,11.19
2.92,1413,0.05,931,482,65.89,34.11
2.93,924,0.03,790,134,85.5,14.5
2.94,214,0.01,152,62,71.03,28.97
2.95,412,0.01,316,96,76.7,23.3
2.96,1337,0.05,955,382,71.43,28.57
2.97,437,0.02,369,68,84.44,15.56
2.98,394,0.01,306,88,77.66,22.34
2.99,130,0.0,99,31,76.15,23.85
3.0,1290,0.05,876,414,67.91,32.09
3.01,572,0.02,426,146,74.48,25.52
3.03,19951,0.72,12915,7036,64.73,35.27
3.04,96,0.0,76,20,79.17,20.83
3.05,3105,0.11,2315,790,74.56,25.44
3.06,470,0.02,370,100,78.72,21.28
3.07,151,0.01,137,14,90.73,9.27
3.08,1064,0.04,701,363,65.88,34.12
3.09,223,0.01,157,66,70.4,29.6
3.1,229,0.01,143,86,62.45,37.55
3.11,253,0.01,183,70,72.33,27.67
3.12,1253,0.05,919,334,73.34,26.66
3.14,563,0.02,462,101,82.06,17.94
3.15,182,0.01,143,39,78.57,21.43
3.16,517,0.02,383,134,74.08,25.92
3.17,695,0.03,559,136,80.43,19.57
3.18,161,0.01,127,34,78.88,21.12
3.19,1489,0.05,871,618,58.5,41.5
3.2,85,0.0,64,21,75.29,24.71
3.21,168,0.01,136,32,80.95,19.05
3.22,1144,0.04,699,445,61.1,38.9
3.23,654,0.02,553,101,84.56,15.44
3.25,27583,1.0,19550,8033,70.88,29.12
3.26,1807,0.07,1382,425,76.48,23.52
3.27,126,0.0,91,35,72.22,27.78
3.28,384,0.01,295,89,76.82,23.18
3.29,542,0.02,423,119,78.04,21.96
3.3,315,0.01,257,58,81.59,18.41
3.31,254,0.01,182,72,71.65,28.35
3.32,248,0.01,204,44,82.26,17.74
3.33,266,0.01,199,67,74.81,25.19
3.34,960,0.03,666,294,69.38,30.63
3.35,247,0.01,183,64,74.09,25.91
3.37,289,0.01,206,83,71.28,28.72
3.38,73,0.0,50,23,68.49,31.51
3.39,378,0.01,341,37,90.21,9.79
3.4,505,0.02,400,105,79.21,20.79
3.41,253,0.01,204,49,80.63,19.37
3.42,556,0.02,409,147,73.56,26.44
3.43,33,0.0,26,7,78.79,21.21
3.44,580,0.02,434,146,74.83,25.17
3.45,741,0.03,585,156,78.95,21.05
3.47,793,0.03,609,184,76.8,23.2
3.48,151,0.01,124,27,82.12,17.88
3.49,616,0.02,443,173,71.92,28.08
3.5,266,0.01,169,97,63.53,36.47
3.51,928,0.03,687,241,74.03,25.97
3.52,685,0.02,504,181,73.58,26.42
3.53,258,0.01,200,58,77.52,22.48
3.54,476,0.02,330,146,69.33,30.67
3.55,1147,0.04,836,311,72.89,27.11
3.56,1148,0.04,897,251,78.14,21.86
3.58,11943,0.43,7418,4525,62.11,37.89
3.59,161,0.01,129,32,80.12,19.88
3.6,98,0.0,69,29,70.41,29.59
3.61,1355,0.05,1084,271,80.0,20.0
3.62,142,0.01,75,67,52.82,47.18
3.63,1522,0.06,939,583,61.7,38.3
3.64,352,0.01,286,66,81.25,18.75
3.65,1472,0.05,1049,423,71.26,28.74
3.66,1190,0.04,848,342,71.26,28.74
3.67,199,0.01,145,54,72.86,27.14
3.69,249,0.01,182,67,73.09,26.91
3.7,185,0.01,125,60,67.57,32.43
3.71,387,0.01,328,59,84.75,15.25
3.72,2473,0.09,1596,877,64.54,35.46
3.73,681,0.02,527,154,77.39,22.61
3.74,817,0.03,708,109,86.66,13.34
3.75,576,0.02,397,179,68.92,31.08
3.76,1656,0.06,1320,336,79.71,20.29
3.77,128,0.0,99,29,77.34,22.66
3.78,190,0.01,147,43,77.37,22.63
3.8,23576,0.86,17198,6378,72.95,27.05
3.81,55,0.0,42,13,76.36,23.64
3.82,984,0.04,682,302,69.31,30.69
3.83,85,0.0,67,18,78.82,21.18
3.84,604,0.02,505,99,83.61,16.39
3.85,1978,0.07,1116,862,56.42,43.58
3.86,2192,0.08,1671,521,76.23,23.77
3.87,207,0.01,148,59,71.5,28.5
3.88,475,0.02,338,137,71.16,28.84
3.89,258,0.01,168,90,65.12,34.88
3.91,304,0.01,208,96,68.42,31.58
3.92,2305,0.08,1697,608,73.62,26.38
3.93,272,0.01,191,81,70.22,29.78
3.94,427,0.02,280,147,65.57,34.43
3.95,3222,0.12,2308,914,71.63,28.37
3.96,903,0.03,624,279,69.1,30.9
3.97,866,0.03,716,150,82.68,17.32
3.98,97,0.0,58,39,59.79,40.21
3.99,303,0.01,212,91,69.97,30.03
4.0,119,0.0,86,33,72.27,27.73
4.02,4625,0.17,3401,1224,73.54,26.46
4.03,295,0.01,205,90,69.49,30.51
4.04,609,0.02,499,110,81.94,18.06
4.05,358,0.01,239,119,66.76,33.24
4.06,2576,0.09,1837,739,71.31,28.69
4.07,882,0.03,672,210,76.19,23.81
4.08,172,0.01,120,52,69.77,30.23
4.09,153,0.01,108,45,70.59,29.41
4.1,634,0.02,501,133,79.02,20.98
4.11,465,0.02,336,129,72.26,27.74
4.12,10942,0.4,7588,3354,69.35,30.65
4.14,574,0.02,401,173,69.86,30.14
4.15,1394,0.05,1056,338,75.75,24.25
4.16,341,0.01,273,68,80.06,19.94
4.17,1342,0.05,961,381,71.61,28.39
4.18,365,0.01,288,77,78.9,21.1
4.19,241,0.01,181,60,75.1,24.9
4.2,362,0.01,265,97,73.2,26.8
4.21,1767,0.06,1322,445,74.82,25.18
4.22,477,0.02,369,108,77.36,22.64
4.24,1020,0.04,785,235,76.96,23.04
4.25,747,0.03,663,84,88.76,11.24
4.26,370,0.01,273,97,73.78,26.22
4.27,2423,0.09,1674,749,69.09,30.91
4.28,269,0.01,205,64,76.21,23.79
4.29,493,0.02,360,133,73.02,26.98
4.3,215,0.01,146,69,67.91,32.09
4.31,576,0.02,394,182,68.4,31.6
4.32,1304,0.05,949,355,72.78,27.22
4.33,329,0.01,229,100,69.6,30.4
4.35,65690,2.38,44541,21149,67.8,32.2
4.36,1127,0.04,852,275,75.6,24.4
4.37,1028,0.04,688,340,66.93,33.07
4.38,1484,0.05,1056,428,71.16,28.84
4.39,614,0.02,416,198,67.75,32.25
4.4,294,0.01,172,122,58.5,41.5
4.41,1272,0.05,982,290,77.2,22.8
4.42,464,0.02,348,116,75.0,25.0
4.43,353,0.01,257,96,72.8,27.2
4.44,1347,0.05,1116,231,82.85,17.15
4.46,379,0.01,294,85,77.57,22.43
4.47,552,0.02,396,156,71.74,28.26
4.48,697,0.03,534,163,76.61,23.39
4.49,1294,0.05,943,351,72.87,27.13
4.5,264,0.01,208,56,78.79,21.21
4.51,407,0.01,280,127,68.8,31.2
4.52,149,0.01,108,41,72.48,27.52
4.53,2000,0.07,1502,498,75.1,24.9
4.54,432,0.02,317,115,73.38,26.62
4.55,185,0.01,127,58,68.65,31.35
4.57,2128,0.08,1642,486,77.16,22.84
4.58,714,0.03,567,147,79.41,20.59
4.59,658,0.02,497,161,75.53,24.47
4.6,243,0.01,171,72,70.37,29.63
4.61,691,0.03,523,168,75.69,24.31
4.62,333,0.01,229,104,68.77,31.23
4.63,298,0.01,237,61,79.53,20.47
4.64,489,0.02,378,111,77.3,22.7
4.65,1408,0.05,1135,273,80.61,19.39
4.66,138,0.01,103,35,74.64,25.36
4.68,16508,0.6,9695,6813,58.73,41.27
4.69,258,0.01,214,44,82.95,17.05
4.7,1782,0.06,1322,460,74.19,25.81
4.71,350,0.01,293,57,83.71,16.29
4.72,457,0.02,334,123,73.09,26.91
4.73,290,0.01,224,66,77.24,22.76
4.74,320,0.01,264,56,82.5,17.5
4.75,438,0.02,357,81,81.51,18.49
4.76,332,0.01,268,64,80.72,19.28
4.77,1092,0.04,840,252,76.92,23.08
4.79,999,0.04,764,235,76.48,23.52
4.8,288,0.01,223,65,77.43,22.57
4.81,246,0.01,182,64,73.98,26.02
4.82,406,0.01,291,115,71.67,28.33
4.83,1572,0.06,1153,419,73.35,26.65
4.84,800,0.03,580,220,72.5,27.5
4.85,391,0.01,301,90,76.98,23.02
4.86,196,0.01,158,38,80.61,19.39
4.87,839,0.03,603,236,71.87,28.13
4.88,812,0.03,640,172,78.82,21.18
4.9,34608,1.26,21835,12773,63.09,36.91
4.91,3343,0.12,2654,689,79.39,20.61
4.92,507,0.02,369,138,72.78,27.22
4.93,154,0.01,122,32,79.22,20.78
4.94,765,0.03,621,144,81.18,18.82
4.95,660,0.02,552,108,83.64,16.36
4.96,1496,0.05,1263,233,84.43,15.57
4.97,224,0.01,161,63,71.88,28.12
4.98,550,0.02,395,155,71.82,28.18
4.99,201,0.01,128,73,63.68,36.32
5.0,419,0.02,326,93,77.8,22.2
5.02,460,0.02,387,73,84.13,15.87
5.03,148,0.01,108,40,72.97,27.03
5.04,5968,0.22,4640,1328,77.75,22.25
5.05,263,0.01,201,62,76.43,23.57
5.06,260,0.01,205,55,78.85,21.15
5.07,249,0.01,202,47,81.12,18.88
5.08,2346,0.09,1809,537,77.11,22.89
5.09,369,0.01,268,101,72.63,27.37
5.1,1115,0.04,981,134,87.98,12.02
5.12,460,0.02,363,97,78.91,21.09
5.13,79,0.0,63,16,79.75,20.25
5.14,496,0.02,400,96,80.65,19.35
5.15,267,0.01,203,64,76.03,23.97
5.16,1775,0.06,1562,213,88.0,12.0
5.17,3737,0.14,2978,759,79.69,20.31
5.18,681,0.02,476,205,69.9,30.1
5.19,334,0.01,272,62,81.44,18.56
5.2,571,0.02,462,109,80.91,19.09
5.21,972,0.04,731,241,75.21,24.79
5.23,6671,0.24,4814,1857,72.16,27.84
5.24,453,0.02,362,91,79.91,20.09
5.25,250,0.01,196,54,78.4,21.6
5.26,379,0.01,291,88,76.78,23.22
5.27,275,0.01,159,116,57.82,42.18
5.28,1108,0.04,764,344,68.95,31.05
5.29,730,0.03,546,184,74.79,25.21
5.3,224,0.01,178,46,79.46,20.54
5.31,238,0.01,144,94,60.5,39.5
5.32,511,0.02,401,110,78.47,21.53
5.33,4825,0.18,4580,245,94.92,5.08
5.35,1343,0.05,1117,226,83.17,16.83
5.36,334,0.01,221,113,66.17,33.83
5.37,786,0.03,573,213,72.9,27.1
5.38,890,0.03,678,212,76.18,23.82
5.39,391,0.01,294,97,75.19,24.81
5.4,1052,0.04,885,167,84.13,15.87
5.41,139,0.01,105,34,75.54,24.46
5.42,351,0.01,264,87,75.21,24.79
5.43,1056,0.04,819,237,77.56,22.44
5.45,70671,2.56,49024,21647,69.37,30.63
5.46,208,0.01,148,60,71.15,28.85
5.47,427,0.02,290,137,67.92,32.08
5.48,215,0.01,159,56,73.95,26.05
5.49,1631,0.06,1316,315,80.69,19.31
5.5,882,0.03,737,145,83.56,16.44
5.51,208,0.01,161,47,77.4,22.6
5.52,406,0.01,320,86,78.82,21.18
5.53,895,0.03,637,258,71.17,28.83
5.54,1838,0.07,1443,395,78.51,21.49
5.56,108,0.0,75,33,69.44,30.56
5.57,182,0.01,136,46,74.73,25.27
5.58,475,0.02,380,95,80.0,20.0
5.59,509,0.02,395,114,77.6,22.4
5.6,1216,0.04,1003,213,82.48,17.52
5.61,196,0.01,133,63,67.86,32.14
5.62,187,0.01,139,48,74.33,25.67
5.63,1077,0.04,895,182,83.1,16.9
5.64,769,0.03,608,161,79.06,20.94
5.65,386,0.01,275,111,71.24,28.76
5.67,2729,0.1,2184,545,80.03,19.97
5.68,134,0.0,108,26,80.6,19.4
5.69,1093,0.04,636,457,58.19,41.81
5.7,1822,0.07,1402,420,76.95,23.05
5.71,247,0.01,181,66,73.28,26.72
5.72,408,0.01,343,65,84.07,15.93
5.73,279,0.01,205,74,73.48,26.52
5.74,670,0.02,523,147,78.06,21.94
5.75,902,0.03,698,204,77.38,22.62
5.76,319,0.01,282,37,88.4,11.6
5.78,10502,0.38,6407,4095,61.01,38.99
5.79,1268,0.05,1110,158,87.54,12.46
5.8,757,0.03,615,142,81.24,18.76
5.81,214,0.01,189,25,88.32,11.68
5.82,232,0.01,151,81,65.09,34.91
5.83,299,0.01,241,58,80.6,19.4
5.84,986,0.04,665,321,67.44,32.56
5.85,1565,0.06,1107,458,70.73,29.27
5.86,278,0.01,202,76,72.66,27.34
5.87,414,0.02,329,85,79.47,20.53
5.88,622,0.02,522,100,83.92,16.08
5.9,2361,0.09,1991,370,84.33,15.67
5.91,1507,0.05,1013,494,67.22,32.78
5.92,863,0.03,609,254,70.57,29.43
5.93,648,0.02,500,148,77.16,22.84
5.94,259,0.01,198,61,76.45,23.55
5.95,1595,0.06,1372,223,86.02,13.98
5.96,174,0.01,136,38,78.16,21.84
5.97,164,0.01,123,41,75.0,25.0
5.98,279,0.01,176,103,63.08,36.92
6.0,26699,0.97,18873,7826,70.69,29.31
6.01,2206,0.08,1566,640,70.99,29.01
6.02,164,0.01,120,44,73.17,26.83
6.03,1250,0.05,1025,225,82.0,18.0
6.04,1090,0.04,935,155,85.78,14.22
6.05,3088,0.11,2429,659,78.66,21.34
6.06,2594,0.09,2131,463,82.15,17.85
6.07,2113,0.08,1348,765,63.8,36.2
6.08,253,0.01,196,57,77.47,22.53
6.09,2006,0.07,1579,427,78.71,21.29
6.11,506,0.02,374,132,73.91,26.09
6.12,500,0.02,409,91,81.8,18.2
6.13,273,0.01,215,58,78.75,21.25
6.14,183,0.01,114,69,62.3,37.7
6.15,243,0.01,177,66,72.84,27.16
6.16,1208,0.04,899,309,74.42,25.58
6.17,415,0.02,333,82,80.24,19.76
6.18,169,0.01,135,34,79.88,20.12
6.19,703,0.03,594,109,84.5,15.5
6.2,955,0.03,786,169,82.3,17.7
6.22,1708,0.06,1317,391,77.11,22.89
6.23,1690,0.06,1470,220,86.98,13.02
6.24,991,0.04,719,272,72.55,27.45
6.25,392,0.01,326,66,83.16,16.84
6.26,1437,0.05,1147,290,79.82,20.18
6.27,538,0.02,438,100,81.41,18.59
6.28,336,0.01,260,76,77.38,22.62
6.29,423,0.02,315,108,74.47,25.53
6.3,926,0.03,763,163,82.4,17.6
6.31,247,0.01,197,50,79.76,20.24
6.33,14120,0.51,9379,4741,66.42,33.58
6.34,278,0.01,226,52,81.29,18.71
6.35,552,0.02,393,159,71.2,28.8
6.36,1409,0.05,1113,296,78.99,21.01
6.37,661,0.02,524,137,79.27,20.73
6.38,492,0.02,386,106,78.46,21.54
6.39,2098,0.08,1894,204,90.28,9.72
6.4,788,0.03,519,269,65.86,34.14
6.41,439,0.02,347,92,79.04,20.96
6.42,1267,0.05,1045,222,82.48,17.52
6.44,1681,0.06,1267,414,75.37,24.63
6.45,662,0.02,491,171,74.17,25.83
6.46,451,0.02,340,111,75.39,24.61
6.47,421,0.02,312,109,74.11,25.89
6.48,240,0.01,179,61,74.58,25.42
6.49,543,0.02,434,109,79.93,20.07
6.5,392,0.01,300,92,76.53,23.47
6.51,525,0.02,378,147,72.0,28.0
6.52,668,0.02,518,150,77.54,22.46
6.53,1043,0.04,858,185,82.26,17.74
6.55,100421,3.64,68014,32407,67.73,32.27
6.56,908,0.03,775,133,85.35,14.65
6.57,2769,0.1,2479,290,89.53,10.47
6.58,966,0.04,656,310,67.91,32.09
6.59,1256,0.05,982,274,78.18,21.82
6.6,494,0.02,413,81,83.6,16.4
6.61,2080,0.08,1664,416,80.0,20.0
6.62,194,0.01,153,41,78.87,21.13
6.63,386,0.01,308,78,79.79,20.21
6.64,489,0.02,345,144,70.55,29.45
6.66,351,0.01,271,80,77.21,22.79
6.67,270,0.01,225,45,83.33,16.67
6.68,676,0.02,562,114,83.14,16.86
6.69,590,0.02,474,116,80.34,19.66
6.7,226,0.01,197,29,87.17,12.83
6.71,1213,0.04,919,294,75.76,24.24
6.72,317,0.01,255,62,80.44,19.56
6.73,1694,0.06,1365,329,80.58,19.42
6.74,1743,0.06,1652,91,94.78,5.22
6.75,192,0.01,143,49,74.48,25.52
6.77,859,0.03,645,214,75.09,24.91
6.78,434,0.02,329,105,75.81,24.19
6.79,1089,0.04,902,187,82.83,17.17
6.8,300,0.01,241,59,80.33,19.67
6.81,368,0.01,281,87,76.36,23.64
6.82,848,0.03,668,180,78.77,21.23
6.83,685,0.02,586,99,85.55,14.45
6.84,667,0.02,475,192,71.21,28.79
6.85,377,0.01,334,43,88.59,11.41
6.86,960,0.03,734,226,76.46,23.54
6.88,2727,0.1,1957,770,71.76,28.24
