competitorPrice,total_count,total_percentage,order_0_count,order_1_count,order_0_percentage,order_1_percentage
1.73,742,0.03,608,134,81.94,18.06
1.74,387,0.01,312,75,80.62,19.38
1.75,1921,0.07,1353,568,70.43,29.57
1.76,251,0.01,197,54,78.49,21.51
1.77,162,0.01,120,42,74.07,25.93
1.78,289,0.01,215,74,74.39,25.61
1.79,170,0.01,112,58,65.88,34.12
1.8,53,0.0,37,16,69.81,30.19
1.81,232,0.01,165,67,71.12,28.88
1.83,364,0.01,246,118,67.58,32.42
1.84,374,0.01,227,147,60.7,39.3
1.85,923,0.03,635,288,68.8,31.2
1.86,1368,0.05,911,457,66.59,33.41
1.87,4076,0.15,1954,2122,47.94,52.06
1.88,246,0.01,213,33,86.59,13.41
1.89,85,0.0,70,15,82.35,17.65
1.9,176,0.01,123,53,69.89,30.11
1.91,4347,0.16,2486,1861,57.19,42.81
1.93,462,0.02,303,159,65.58,34.42
1.94,300,0.01,237,63,79.0,21.0
1.95,191,0.01,130,61,68.06,31.94
1.96,361,0.01,244,117,67.59,32.41
1.97,2079,0.08,1346,733,64.74,35.26
1.98,367,0.01,211,156,57.49,42.51
1.99,215,0.01,144,71,66.98,33.02
2.0,141,0.01,105,36,74.47,25.53
2.01,514,0.02,386,128,75.1,24.9
2.02,127,0.0,87,40,68.5,31.5
2.04,1016,0.04,690,326,67.91,32.09
2.05,279,0.01,195,84,69.89,30.11
2.06,186,0.01,124,62,66.67,33.33
2.07,152,0.01,110,42,72.37,27.63
2.08,2194,0.08,1446,748,65.91,34.09
2.09,1551,0.06,999,552,64.41,35.59
2.1,732,0.03,564,168,77.05,22.95
2.11,395,0.01,283,112,71.65,28.35
2.12,257,0.01,175,82,68.09,31.91
2.13,344,0.01,256,88,74.42,25.58
2.15,984,0.04,691,293,70.22,29.78
2.16,455,0.02,410,45,90.11,9.89
2.17,1073,0.04,759,314,70.74,29.26
2.18,856,0.03,624,232,72.9,27.1
2.19,6359,0.24,3701,2658,58.2,41.8
2.2,484,0.02,336,148,69.42,30.58
2.21,106,0.0,91,15,85.85,14.15
2.22,530,0.02,382,148,72.08,27.92
2.23,112,0.0,75,37,66.96,33.04
2.24,354,0.01,232,122,65.54,34.46
2.25,254,0.01,206,48,81.1,18.9
2.27,314,0.01,217,97,69.11,30.89
2.28,519,0.02,380,139,73.22,26.78
2.29,1549,0.06,788,761,50.87,49.13
2.3,2243,0.08,1610,633,71.78,28.22
2.31,941,0.04,647,294,68.76,31.24
2.32,137,0.01,92,45,67.15,32.85
2.33,256,0.01,171,85,66.8,33.2
2.34,266,0.01,165,101,62.03,37.97
2.35,755,0.03,593,162,78.54,21.46
2.37,331,0.01,261,70,78.85,21.15
2.38,1086,0.04,674,412,62.06,37.94
2.39,714,0.03,551,163,77.17,22.83
2.4,1294,0.05,784,510,60.59,39.41
2.41,5718,0.22,3817,1901,66.75,33.25
2.42,573,0.02,375,198,65.45,34.55
2.43,163,0.01,122,41,74.85,25.15
2.44,180,0.01,126,54,70.0,30.0
2.45,641,0.02,443,198,69.11,30.89
2.46,661,0.02,463,198,70.05,29.95
2.48,3391,0.13,2356,1035,69.48,30.52
2.49,515,0.02,443,72,86.02,13.98
2.5,88,0.0,75,13,85.23,14.77
2.51,2559,0.1,1610,949,62.92,37.08
2.52,6770,0.25,4269,2501,63.06,36.94
2.53,1869,0.07,1179,690,63.08,36.92
2.54,613,0.02,371,242,60.52,39.48
2.55,410,0.02,274,136,66.83,33.17
2.56,464,0.02,316,148,68.1,31.9
2.57,844,0.03,602,242,71.33,28.67
2.59,1530,0.06,1226,304,80.13,19.87
2.6,1476,0.06,1171,305,79.34,20.66
2.61,265,0.01,193,72,72.83,27.17
2.62,4283,0.16,2139,2144,49.94,50.06
2.63,5690,0.21,3734,1956,65.62,34.38
2.64,2054,0.08,1608,446,78.29,21.71
2.65,414,0.02,320,94,77.29,22.71
2.66,232,0.01,171,61,73.71,26.29
2.67,1453,0.05,1002,451,68.96,31.04
2.68,5786,0.22,2701,3085,46.68,53.32
2.7,798,0.03,536,262,67.17,32.83
2.71,416,0.02,331,85,79.57,20.43
2.72,447,0.02,333,114,74.5,25.5
2.73,7119,0.27,4051,3068,56.9,43.1
2.74,8354,0.31,5161,3193,61.78,38.22
2.75,678,0.03,479,199,70.65,29.35
2.76,1027,0.04,735,292,71.57,28.43
2.77,770,0.03,463,307,60.13,39.87
2.78,480,0.02,350,130,72.92,27.08
2.79,523,0.02,376,147,71.89,28.11
2.81,1072,0.04,925,147,86.29,13.71
2.82,722,0.03,466,256,64.54,35.46
2.83,676,0.03,443,233,65.53,34.47
2.84,473,0.02,333,140,70.4,29.6
2.85,5850,0.22,3989,1861,68.19,31.81
2.86,968,0.04,675,293,69.73,30.27
2.87,145,0.01,108,37,74.48,25.52
2.88,3665,0.14,2052,1613,55.99,44.01
2.89,272,0.01,172,100,63.24,36.76
2.9,1143,0.04,646,497,56.52,43.48
2.92,1002,0.04,824,178,82.24,17.76
2.93,655,0.02,498,157,76.03,23.97
2.94,686,0.03,516,170,75.22,24.78
2.95,2145,0.08,1399,746,65.22,34.78
2.96,4741,0.18,3125,1616,65.91,34.09
2.97,794,0.03,552,242,69.52,30.48
2.98,437,0.02,356,81,81.46,18.54
2.99,264,0.01,219,45,82.95,17.05
3.0,1336,0.05,904,432,67.66,32.34
3.01,1621,0.06,1036,585,63.91,36.09
3.03,1641,0.06,957,684,58.32,41.68
3.04,789,0.03,612,177,77.57,22.43
3.05,163,0.01,132,31,80.98,19.02
3.06,2028,0.08,1319,709,65.04,34.96
3.07,4292,0.16,3178,1114,74.04,25.96
3.08,1270,0.05,926,344,72.91,27.09
3.09,1331,0.05,1039,292,78.06,21.94
3.1,695,0.03,449,246,64.6,35.4
3.11,381,0.01,275,106,72.18,27.82
3.12,765,0.03,600,165,78.43,21.57
3.14,645,0.02,495,150,76.74,23.26
3.15,274,0.01,201,73,73.36,26.64
3.16,723,0.03,534,189,73.86,26.14
3.17,1016,0.04,681,335,67.03,32.97
3.18,3419,0.13,2320,1099,67.86,32.14
3.19,536,0.02,407,129,75.93,24.07
3.2,172,0.01,108,64,62.79,37.21
3.21,786,0.03,534,252,67.94,32.06
3.22,313,0.01,208,105,66.45,33.55
3.23,1325,0.05,1014,311,76.53,23.47
3.25,1606,0.06,1203,403,74.91,25.09
3.26,2112,0.08,1534,578,72.63,27.37
3.27,4588,0.17,4331,257,94.4,5.6
3.28,2722,0.1,1674,1048,61.5,38.5
3.29,10646,0.4,7295,3351,68.52,31.48
3.3,1027,0.04,776,251,75.56,24.44
3.31,133,0.01,105,28,78.95,21.05
3.32,377,0.01,282,95,74.8,25.2
3.33,433,0.02,314,119,72.52,27.48
3.34,983,0.04,847,136,86.16,13.84
3.35,968,0.04,691,277,71.38,28.62
3.37,1281,0.05,919,362,71.74,28.26
3.38,581,0.02,440,141,75.73,24.27
3.39,1136,0.04,848,288,74.65,25.35
3.4,2460,0.09,1729,731,70.28,29.72
3.41,774,0.03,564,210,72.87,27.13
3.42,679,0.03,515,164,75.85,24.15
3.43,375,0.01,266,109,70.93,29.07
3.44,209,0.01,172,37,82.3,17.7
3.45,752,0.03,566,186,75.27,24.73
3.47,1550,0.06,1092,458,70.45,29.55
3.48,1963,0.07,1512,451,77.02,22.98
3.49,233,0.01,172,61,73.82,26.18
3.5,1431,0.05,909,522,63.52,36.48
3.51,5008,0.19,3492,1516,69.73,30.27
3.52,4411,0.17,2360,2051,53.5,46.5
3.53,170,0.01,130,40,76.47,23.53
3.54,350,0.01,289,61,82.57,17.43
3.55,737,0.03,445,292,60.38,39.62
3.56,629,0.02,430,199,68.36,31.64
3.58,836,0.03,638,198,76.32,23.68
3.59,838,0.03,600,238,71.6,28.4
3.6,3235,0.12,2095,1140,64.76,35.24
3.61,4868,0.18,3798,1070,78.02,21.98
3.62,8229,0.31,5627,2602,68.38,31.62
3.63,488,0.02,376,112,77.05,22.95
3.64,488,0.02,339,149,69.47,30.53
3.65,652,0.02,428,224,65.64,34.36
3.66,191,0.01,143,48,74.87,25.13
3.67,1432,0.05,1080,352,75.42,24.58
3.69,1253,0.05,873,380,69.67,30.33
3.7,725,0.03,516,209,71.17,28.83
3.71,391,0.01,275,116,70.33,29.67
3.72,1410,0.05,997,413,70.71,29.29
3.73,6237,0.23,4512,1725,72.34,27.66
3.74,989,0.04,809,180,81.8,18.2
3.75,312,0.01,252,60,80.77,19.23
3.76,215,0.01,168,47,78.14,21.86
3.77,451,0.02,360,91,79.82,20.18
3.78,1253,0.05,837,416,66.8,33.2
3.8,1689,0.06,1070,619,63.35,36.65
3.81,420,0.02,372,48,88.57,11.43
3.82,1054,0.04,849,205,80.55,19.45
3.83,3017,0.11,1895,1122,62.81,37.19
3.84,12753,0.48,8756,3997,68.66,31.34
3.85,1179,0.04,798,381,67.68,32.32
3.86,1163,0.04,826,337,71.02,28.98
3.87,431,0.02,349,82,80.97,19.03
3.88,568,0.02,377,191,66.37,33.63
3.89,409,0.02,303,106,74.08,25.92
3.91,1121,0.04,783,338,69.85,30.15
3.92,3085,0.12,2431,654,78.8,21.2
3.93,1199,0.05,830,369,69.22,30.78
3.94,2055,0.08,1475,580,71.78,28.22
3.95,5226,0.2,3676,1550,70.34,29.66
3.96,557,0.02,435,122,78.1,21.9
3.97,1735,0.07,1167,568,67.26,32.74
3.98,1316,0.05,1020,296,77.51,22.49
3.99,667,0.03,580,87,86.96,13.04
4.0,303,0.01,222,81,73.27,26.73
4.02,991,0.04,653,338,65.89,34.11
4.03,474,0.02,375,99,79.11,20.89
4.04,463,0.02,392,71,84.67,15.33
4.05,935,0.04,594,341,63.53,36.47
4.06,10396,0.39,7224,3172,69.49,30.51
4.07,869,0.03,695,174,79.98,20.02
4.08,830,0.03,695,135,83.73,16.27
4.09,808,0.03,539,269,66.71,33.29
4.1,948,0.04,677,271,71.41,28.59
4.11,753,0.03,525,228,69.72,30.28
4.12,2498,0.09,1803,695,72.18,27.82
4.14,1330,0.05,857,473,64.44,35.56
4.15,808,0.03,687,121,85.02,14.98
4.16,5504,0.21,3411,2093,61.97,38.03
4.17,12964,0.49,8200,4764,63.25,36.75
4.18,1688,0.06,1245,443,73.76,26.24
4.19,678,0.03,525,153,77.43,22.57
4.2,2046,0.08,1447,599,70.72,29.28
4.21,536,0.02,365,171,68.1,31.9
4.22,676,0.03,503,173,74.41,25.59
4.24,768,0.03,589,179,76.69,23.31
4.25,176,0.01,130,46,73.86,26.14
4.26,519,0.02,406,113,78.23,21.77
4.27,2118,0.08,1334,784,62.98,37.02
4.28,6610,0.25,4417,2193,66.82,33.18
4.29,933,0.04,762,171,81.67,18.33
4.3,318,0.01,228,90,71.7,28.3
4.31,1172,0.04,820,352,69.97,30.03
4.32,1201,0.05,850,351,70.77,29.23
4.33,2150,0.08,1447,703,67.3,32.7
4.35,4416,0.17,3012,1404,68.21,31.79
4.36,3616,0.14,2791,825,77.18,22.82
4.37,1156,0.04,881,275,76.21,23.79
4.38,11791,0.44,7210,4581,61.15,38.85
4.39,16347,0.62,10780,5567,65.94,34.06
4.4,975,0.04,759,216,77.85,22.15
4.41,529,0.02,344,185,65.03,34.97
4.42,747,0.03,532,215,71.22,28.78
4.43,583,0.02,428,155,73.41,26.59
4.44,215,0.01,161,54,74.88,25.12
4.46,1097,0.04,667,430,60.8,39.2
4.47,678,0.03,494,184,72.86,27.14
4.48,476,0.02,340,136,71.43,28.57
4.49,1089,0.04,811,278,74.47,25.53
4.5,4147,0.16,2861,1286,68.99,31.01
4.51,466,0.02,339,127,72.75,27.25
4.52,1096,0.04,839,257,76.55,23.45
4.53,847,0.03,510,337,60.21,39.79
4.54,310,0.01,271,39,87.42,12.58
4.55,1728,0.07,1242,486,71.88,28.12
4.57,1379,0.05,1250,129,90.65,9.35
4.58,1546,0.06,1063,483,68.76,31.24
4.59,340,0.01,260,80,76.47,23.53
4.6,6450,0.24,3696,2754,57.3,42.7
4.61,7144,0.27,4534,2610,63.47,36.53
4.62,1154,0.04,833,321,72.18,27.82
4.63,704,0.03,532,172,75.57,24.43
4.64,761,0.03,556,205,73.06,26.94
4.65,746,0.03,646,100,86.6,13.4
4.66,1400,0.05,1063,337,75.93,24.07
4.68,3098,0.12,1991,1107,64.27,35.73
4.69,1036,0.04,880,156,84.94,15.06
4.7,1152,0.04,733,419,63.63,36.37
4.71,2661,0.1,1808,853,67.94,32.06
4.72,10736,0.4,8608,2128,80.18,19.82
4.73,433,0.02,297,136,68.59,31.41
4.74,1022,0.04,833,189,81.51,18.49
4.75,877,0.03,757,120,86.32,13.68
4.76,392,0.01,316,76,80.61,19.39
4.77,607,0.02,499,108,82.21,17.79
4.79,985,0.04,810,175,82.23,17.77
4.8,916,0.03,722,194,78.82,21.18
4.81,1075,0.04,725,350,67.44,32.56
4.82,1044,0.04,711,333,68.1,31.9
4.83,11658,0.44,8109,3549,69.56,30.44
4.84,602,0.02,417,185,69.27,30.73
4.85,338,0.01,300,38,88.76,11.24
4.86,336,0.01,267,69,79.46,20.54
4.87,348,0.01,263,85,75.57,24.43
4.88,627,0.02,446,181,71.13,28.87
4.9,1107,0.04,870,237,78.59,21.41
4.91,566,0.02,369,197,65.19,34.81
4.92,1133,0.04,856,277,75.55,24.45
4.93,5436,0.2,3993,1443,73.45,26.55
4.94,14281,0.54,10383,3898,72.7,27.3
4.95,2039,0.08,1592,447,78.08,21.92
4.96,800,0.03,676,124,84.5,15.5
4.97,450,0.02,375,75,83.33,16.67
4.98,548,0.02,467,81,85.22,14.78
4.99,389,0.01,275,114,70.69,29.31
5.0,613,0.02,445,168,72.59,27.41
5.02,465,0.02,316,149,67.96,32.04
5.03,431,0.02,359,72,83.29,16.71
5.04,2839,0.11,2069,770,72.88,27.12
5.05,5564,0.21,3802,1762,68.33,31.67
5.06,1771,0.07,1281,490,72.33,27.67
5.07,391,0.01,330,61,84.4,15.6
5.08,518,0.02,459,59,88.61,11.39
5.09,872,0.03,554,318,63.53,36.47
5.1,511,0.02,356,155,69.67,30.33
5.12,329,0.01,252,77,76.6,23.4
5.13,1354,0.05,890,464,65.73,34.27
5.14,838,0.03,647,191,77.21,22.79
5.15,1871,0.07,1509,362,80.65,19.35
5.16,4715,0.18,3687,1028,78.2,21.8
5.17,573,0.02,451,122,78.71,21.29
5.18,725,0.03,546,179,75.31,24.69
5.19,666,0.03,539,127,80.93,19.07
5.2,80,0.0,58,22,72.5,27.5
5.21,691,0.03,534,157,77.28,22.72
5.23,776,0.03,584,192,75.26,24.74
5.24,1614,0.06,1323,291,81.97,18.03
5.25,824,0.03,654,170,79.37,20.63
5.26,1991,0.07,1537,454,77.2,22.8
5.27,11594,0.44,8537,3057,73.63,26.37
5.28,1022,0.04,789,233,77.2,22.8
5.29,315,0.01,216,99,68.57,31.43
5.3,150,0.01,122,28,81.33,18.67
5.31,291,0.01,211,80,72.51,27.49
5.32,1592,0.06,1422,170,89.32,10.68
5.33,1892,0.07,1219,673,64.43,35.57
5.35,810,0.03,663,147,81.85,18.15
5.36,744,0.03,531,213,71.37,28.63
5.37,5377,0.2,3256,2121,60.55,39.45
5.38,19206,0.72,13081,6125,68.11,31.89
5.39,911,0.03,694,217,76.18,23.82
5.4,381,0.01,298,83,78.22,21.78
5.41,2636,0.1,1812,824,68.74,31.26
5.42,1856,0.07,1348,508,72.63,27.37
5.43,1830,0.07,1301,529,71.09,28.91
5.45,5256,0.2,3941,1315,74.98,25.02
5.46,500,0.02,333,167,66.6,33.4
5.47,2072,0.08,1342,730,64.77,35.23
5.48,8926,0.34,5949,2977,66.65,33.35
5.49,21750,0.82,15275,6475,70.23,29.77
5.5,1074,0.04,871,203,81.1,18.9
5.51,751,0.03,549,202,73.1,26.9
5.52,557,0.02,435,122,78.1,21.9
5.53,441,0.02,377,64,85.49,14.51
5.54,245,0.01,187,58,76.33,23.67
5.56,666,0.03,496,170,74.47,25.53
5.57,306,0.01,242,64,79.08,20.92
5.58,598,0.02,480,118,80.27,19.73
5.59,2286,0.09,1599,687,69.95,30.05
5.6,1933,0.07,1375,558,71.13,28.87
5.61,488,0.02,388,100,79.51,20.49
5.62,2293,0.09,1856,437,80.94,19.06
5.63,331,0.01,252,79,76.13,23.87
5.64,925,0.03,830,95,89.73,10.27
5.65,413,0.02,318,95,77.0,23.0
5.67,4901,0.18,3426,1475,69.9,30.1
5.68,1088,0.04,908,180,83.46,16.54
5.69,1702,0.06,1190,512,69.92,30.08
5.7,1517,0.06,1134,383,74.75,25.25
5.71,6202,0.23,4236,1966,68.3,31.7
5.72,1565,0.06,1120,445,71.57,28.43
5.73,1000,0.04,721,279,72.1,27.9
5.74,857,0.03,637,220,74.33,25.67
5.75,623,0.02,473,150,75.92,24.08
5.76,681,0.03,477,204,70.04,29.96
5.78,1907,0.07,1294,613,67.86,32.14
5.79,216,0.01,170,46,78.7,21.3
5.8,1592,0.06,1062,530,66.71,33.29
5.81,5195,0.2,3467,1728,66.74,33.26
5.82,6462,0.24,4624,1838,71.56,28.44
5.83,509,0.02,453,56,89.0,11.0
5.84,411,0.02,341,70,82.97,17.03
5.85,589,0.02,493,96,83.7,16.3
5.86,1755,0.07,914,841,52.08,47.92
5.87,357,0.01,311,46,87.11,12.89
5.88,1007,0.04,640,367,63.56,36.44
5.9,1037,0.04,785,252,75.7,24.3
5.91,473,0.02,323,150,68.29,31.71
5.92,1425,0.05,1032,393,72.42,27.58
5.93,6589,0.25,4664,1925,70.78,29.22
5.94,994,0.04,809,185,81.39,18.61
5.95,340,0.01,245,95,72.06,27.94
5.96,799,0.03,619,180,77.47,22.53
5.97,274,0.01,212,62,77.37,22.63
5.98,1208,0.05,847,361,70.12,29.88
6.0,3549,0.13,1972,1577,55.56,44.44
6.01,236,0.01,165,71,69.92,30.08
6.02,1476,0.06,1102,374,74.66,25.34
6.03,11061,0.42,7635,3426,69.03,30.97
6.04,13330,0.5,9172,4158,68.81,31.19
6.05,909,0.03,684,225,75.25,24.75
6.06,746,0.03,609,137,81.64,18.36
6.07,744,0.03,609,135,81.85,18.15
6.08,660,0.02,401,259,60.76,39.24
6.09,709,0.03,564,145,79.55,20.45
6.11,522,0.02,410,112,78.54,21.46
6.12,1864,0.07,1509,355,80.95,19.05
6.13,1533,0.06,1266,267,82.58,17.42
6.14,3460,0.13,2808,652,81.16,18.84
6.15,4599,0.17,3591,1008,78.08,21.92
6.16,840,0.03,618,222,73.57,26.43
6.17,492,0.02,431,61,87.6,12.4
6.18,772,0.03,596,176,77.2,22.8
6.19,317,0.01,242,75,76.34,23.66
6.2,366,0.01,287,79,78.42,21.58
6.22,809,0.03,630,179,77.87,22.13
6.23,511,0.02,425,86,83.17,16.83
6.24,446,0.02,333,113,74.66,25.34
6.25,4306,0.16,3077,1229,71.46,28.54
6.26,6267,0.24,4574,1693,72.99,27.01
6.27,623,0.02,519,104,83.31,16.69
6.28,592,0.02,428,164,72.3,27.7
6.29,582,0.02,427,155,73.37,26.63
6.3,574,0.02,407,167,70.91,29.09
6.31,1200,0.05,845,355,70.42,29.58
6.33,880,0.03,654,226,74.32,25.68
6.34,592,0.02,453,139,76.52,23.48
6.35,1367,0.05,1086,281,79.44,20.56
6.36,3090,0.12,2101,989,67.99,32.01
6.37,9067,0.34,6253,2814,68.96,31.04
6.38,838,0.03,615,223,73.39,26.61
6.39,285,0.01,215,70,75.44,24.56
6.4,575,0.02,392,183,68.17,31.83
6.41,1170,0.04,799,371,68.29,31.71
6.42,691,0.03,435,256,62.95,37.05
6.44,700,0.03,516,184,73.71,26.29
6.45,1024,0.04,620,404,60.55,39.45
6.46,2171,0.08,1364,807,62.83,37.17
6.47,1489,0.06,934,555,62.73,37.27
6.48,7758,0.29,5510,2248,71.02,28.98
6.49,1668,0.06,1245,423,74.64,25.36
6.5,823,0.03,709,114,86.15,13.85
6.51,1005,0.04,769,236,76.52,23.48
6.52,587,0.02,415,172,70.7,29.3
6.53,2452,0.09,1649,803,67.25,32.75
6.55,4748,0.18,3259,1489,68.64,31.36
6.56,1743,0.07,1156,587,66.32,33.68
6.57,8407,0.32,4361,4046,51.87,48.13
6.58,8596,0.32,6134,2462,71.36,28.64
6.59,23499,0.88,17625,5874,75.0,25.0
6.6,660,0.02,531,129,80.45,19.55
6.61,783,0.03,593,190,75.73,24.27
6.62,565,0.02,452,113,80.0,20.0
6.63,886,0.03,610,276,68.85,31.15
6.64,245,0.01,188,57,76.73,23.27
6.66,383,0.01,342,41,89.3,10.7
6.67,374,0.01,316,58,84.49,15.51
6.68,645,0.02,540,105,83.72,16.28
6.69,1079,0.04,909,170,84.24,15.76
6.7,1143,0.04,774,369,67.72,32.28
6.71,1234,0.05,771,463,62.48,37.52
6.72,475,0.02,360,115,75.79,24.21
6.73,714,0.03,584,130,81.79,18.21
6.74,769,0.03,652,117,84.79,15.21
6.75,777,0.03,609,168,78.38,21.62
6.77,450,0.02,364,86,80.89,19.11
6.78,282,0.01,236,46,83.69,16.31
6.79,647,0.02,574,73,88.72,11.28
6.8,959,0.04,609,350,63.5,36.5
6.81,4276,0.16,2972,1304,69.5,30.5
6.82,1523,0.06,1045,478,68.61,31.39
6.83,1128,0.04,824,304,73.05,26.95
6.84,1660,0.06,1435,225,86.45,13.55
6.85,622,0.02,494,128,79.42,20.58
6.86,1030,0.04,807,223,78.35,21.65
6.88,656,0.02,527,129,80.34,19.66
6.89,562,0.02,458,104,81.49,18.51
6.9,819,0.03,660,159,80.59,19.41
6.91,3862,0.15,2758,1104,71.41,28.59
6.92,9405,0.35,6218,3187,66.11,33.89
6.93,367,0.01,285,82,77.66,22.34
6.94,926,0.03,741,185,80.02,19.98
